"uid","pair_d2","annotation_status","section","Q_bangla","A_bangla","Q_en","A_en","strict_direct_exp","broad_direct_exp","hearsay","A1_no_opinion","A2_no_opinion_lack_exposure","A3_humans_are_equal","A4_extended_help","A7_grateful_to_god","A8_express_gratitude","A9_prejudice","A10_suspicion","A11_bitter_contempt","A12_lack_of_interest","A13_empathy_sympathy","A14_aid","A15_compliments","A16_religious_fraternity","B1_no_benefits","B2_specific_pos_event","B3_financial_help","B4_more_jobs","B5_reduced_rent","B6_provided_shelter","B7_provided_food","C1_no_problems","C2_fear_concern","C4_increased_prices","C5_security_concern","C6_reduced_land","C7_reduced_wages","C8_reduced_jobs","C9_perceive_lack_morals","C10_movement_restrictions","C11_need_pay_rent","C13_reduced_resources","C14_enviro_harm","C15_increased_supervis","C16_quarrel_dispute","C17_overcrowded","D1_no_actions","D2_vague_action","D3_social_harmony","D4_allocate_resources","D5_leave_evacuate","D6_govt_knows_better","D7_does_not_know","D8_remain_disciplined","D9_stronger_boundary","D10_econ_integrat","D11_sources_of_info","D12_more_interact","D13_increased_mobility","shuffle_var"
"H532005008",19386,"annotated","A","বাংলাদেশের রোহিঙ্গা যারা এসেছে তাদের সম্পর্কে একটু আমরা কথা বলি।","হ্যাঁ, বলেন।","Let's talk a little about the Rohingyas who came from Bangladesh.","Yes, he said.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19387,"annotated","A","রোহিঙ্গা সম্পর্কে যদি আপনার কাছে জিজ্ঞাসা করি তাহলে রোহিঙ্গা সম্পর্কে কী বলবেন?","রোহিঙ্গাদের সম্পর্কে আমরা কি জানবো। তাদের সাথে আসা-যাওয়া করলে বলতে পারতাম।","If we ask you about the Rohingya, what would you say about the Rohingya?","What do we know about the Rohingyas? I could tell if I came and went with them.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19388,"annotated","A","আসা-যাওয়া না থাকলেও বাংলাদেশে এসেছে। তাদের সম্পর্কে শুনেছেন। আপনি যা শুনেছেন যা জানেন বলেন।","তাদেরকে ঘরবাড়ি বেঁধে দিয়েছে। এনজিও চালাচ্ছে। এতোটুকু জানি।","He came to Bangladesh even though he did not come and go. Heard about them. Say what you know what you heard.","They have been tied to their houses. run by NGOs. I know that much.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19389,"annotated","B","আচ্ছা এতোটুকু জানেন তাহলে। ভাইয়া, এমন কোন ঘটনা কি বলতে পারবেন যে রোহিঙ্গারা আসার কারণে আপনার উপকার অথবা লাভ হয়েছে?","রোহিঙ্গারা আসার কারণে আমাদের উপকারও হয়নি এবং লাভও হয়নি।","Well, you know that much. Biya, can you tell us any case where Rohingyas have benefited or benefited from coming?","We have neither benefited nor benefited from the arrival of the Rohingyas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19390,"annotated","C","আচ্ছা কিছু হয়নি তাহলে। রোহিঙ্গারা আসার কারণে আপনাদের অসুবিধা হয়েছে এরকম ঘটনা কি বলতে পারবেন?","তারা আসার কারণে আমাদের কি অসুবিধা হবে? তাদেরকে বিদেশের রাষ্ট্র চালাচ্ছে।","Well, nothing happened. Can you tell us about the incident that caused you difficulties due to the arrival of the Rohingyas?","What will be the problem because they come? They are run by foreign states.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19391,"annotated","D","আচ্ছা, তাহলে ভাইয়া রোহিঙ্গাদের আশেপাশে যারা স্থানীয় মানুষ আছে তাদের সাথে রোহিঙ্গাদের সম্পর্ক যেরকম আছে এরচেয়ে আরো ভালো সম্পর্ক হওয়ার জন্য কি করা যায়? কিভাবে আরো ভালো ভাবে রাখা যাবে বলে মনে করেন?","রোহিঙ্গাদের কথা বলছেন?","Well, what can be done to have a better relationship with the local people around the Rohingyas than the Rohingyas have? How do you think it can be put in a better way?","Are you talking about the Rohingyas?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19392,"annotated","D","অর্থাৎ, রোহিঙ্গারা এবং যারা বাংলাদেশিরা আছে তাদের সম্পর্ক বর্তমানে যে অবস্থায় আছে, কি ব্যবস্থা নিলে আরো ভাল ভাবে রাখা যাবে বলে আপনি মনে করেন?","কিছু চলে যাচ্ছে। কিছু এখানে আছে এ রকম শুনতেছি। তাদের সম্পর্কে তেমন কিছু জানি না। ভালো-খারাপ সরকার জানবে।","That is, the relationship between the Rohingyas and those who are Bangladeshis is in the current state, what measures do you think can be kept in a better way?","Something is going away. I hear something is here. Don't know much about them. Good and bad government will know.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
"H532005008",19393,"annotated","D","সরকার জানবে। তবে আপনার মতে কি করলে ভাল হবে?","আমরা কি করে বলবো? সরকারের হাতে ক্ষমতা। যেটা বলে সেটা হয়।","The government will know. But what do you think would be better?","What shall we say? Power in the hands of the government. What it says is what it is.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
"H532005008",19394,"annotated","D","আচ্ছা। তবে আপনার কি মনে হয়? কি ব্যবস্থা নিলে ভালো হবে বলে মনে হয়?","কি করলে কি হবে সেটা আমরা বুঝতে পারতেছি না।","ok But what do you think? What action do you think would be better?","We don't know what to do.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
"H532005008",19395,"annotated","D","আচ্ছা ঠিক আছে তাহলে। রোহিঙ্গাদের সম্পর্কে আপনার আর কিছু বলার আছে?","রোহিঙ্গাদের সম্পর্কে আমাদের আর কিছু বলার নেই।","Well ok then. Do you have anything else to say about the Rohingya?","We have nothing more to say about the Rohingyas.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19396,"annotated","D","আচ্ছা কিছু বলার নেই।","আমরা এনজিওর কিছু পাইনি।","Well, nothing to say.","We did not get anything from the NGO.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19397,"annotated","D","কিছু বলতে ভাইয়া কি বলেন?","এনজিওরা মানুষকে কত ধরণের সাহায্য-সহযোগিতা করতেছে। একবার আপনারা এখানে এসেছিলেন।","What did the brother say?","What kind of help are NGOs providing to people? Once you came here.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19398,"annotated","D","হ্যাঁ ভাইয়া বলেন।","এ অবস্থায় কোনদিন কিছু পাইনি।","Yes brother said.","I never got anything in this situation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19399,"annotated","D","আচ্ছা ভাইয়া আর কিছু বলার আছে?","না ভাইয়া।","Well brother, do you have anything else to say?","no brother",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H532005008",19400,"annotated","D","আচ্ছা ভাইয়া পরবর্তী সময়ে যদি আপনার সাথে কথা বলতে চাই তাহলে কি কথা বলতে পারব?","হ্যাঁ, আমি ফ্রি থাকলে বলতে পারবেন।","Well brother, if I want to talk to you later, can I talk?","Yes, you can tell if I'm free.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"H755001005",9946,"annotated","A","ভাইয়া, এতক্ষণ তো আমরা আপনার সুখের কথা, দুঃখের কথা এবং আপনার ছোট বোনকে নিয়ে আপনার যে স্বপ্ন আছে সেগুলো নিয়ে আলোচনা করলাম। এখন আমি বাংলাদেশে যারা রোহিঙ্গা এসেছে তাদের ব্যাপারে আপনার মতামত জানেতে চাচ্ছি। তাদের সম্পর্কে আপনি কী বলবেন?","রোহিঙ্গারা আশার কারণে আমাদেরকে বিভিন্ন ধরণের কষ্ট ভোগ করতে হচ্ছে। তারা আসার পুর্বে আমাদেরকে রাস্তা ঘাটে এ রকম হয়রানির শিকার হতে হতো না। কিন্তু তারা এখানে আসার পর থেকে কোথাও যাওয়ার সময় চেক পোষ্টগুলোতে আমাদের উপর বিভিন্ন ভাবে চাপ সৃষ্টি করা হচ্ছে। এ ছাড়া আই.ডি. কার্ড এবং জন্মনিবন্ধন করতে গেলে আমাদেরকে বিভিন্ন ধরণের কষ্টের মুখোমুখি হতে হচ্ছে।","Brother, so far we have discussed about your happiness, sadness and dreams you have for your little sister. Now I want to know your opinion about the Rohingya who came to Bangladesh. What do you say about them?","We have to suffer various kinds of hardships because of hope of Rohingyas. Before they came, we did not have to suffer such harassment on the streets. But since they came here, we are being pressured in various ways at the check posts while going anywhere. Apart from this, I.D. We have to face various difficulties while getting the card and birth registration.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"H755001005",9947,"annotated","A","ভাইয়া, তারা আসাতে আর কী কী অসুবিধা হয়েছে? একটু বলেন।","তারা আসার কারণে চাউল, ডাল, তৈল, মাছ এবং অন্যান্য কাচা তরকারি সহ সব ধরণের পন্যের মূল্য বেড়ে গেছে এবং এখানের জনসংখ্যাতে আরো বৃদ্ধি হয়েছে এবং তারা আমাদের দেশের সম্পদগুলো নষ্ট করতেছে। এখন আবার করোনার জন্য লকডাউন চলতেছে, যার কারণে আমরা আগের চেয়ে আরো বেশী কষ্টে পড়েগেছি।","Brother, what other difficulties have they come? say a little","Due to their arrival, the prices of all kinds of commodities including rice, pulses, oil, fish and other raw curries have increased and the population has increased and they are wasting the resources of our country. Now the lockdown is going again due to Corona, due to which we are suffering more than before.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"H755001005",9948,"annotated","B","মাশা আল্লাহ, আপনি অনেক সুন্দর কথা বলেছেন। ভাইয়া, রোহিঙ্গারা আসার কারণে আপনার কোনো উপকার হয়েছে, এ রকম একটা ঘটনা কি আপনি বলতে পারবেন ?","রোহিঙ্গারা আসার কারণে উপকার হয়েছে এ রকম ঘটনা জানতে চাচ্ছেন?","Masha Allah, you have said very nice words. Brother, because of the coming of the Rohingyas, you have benefited, can you tell us about such an incident?","Do you want to know about the benefits of coming Rohingyas?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"H755001005",9949,"annotated","B","জ্বী, আপনাদের কোনো উপকার হয়েছে এ রকম একটা ঘটনা বলেন।","এমনিতে যাইহোক, কিন্তু রোহিঙ্গারা আসার কারণে আমাদের উকিয়া থানার অনেক লোকজন ছাতা, কম্বল, হান্ডি-পাতিল সহ বিভিন্ন ধরণের সাহায্য সহযোগিতা পেয়েছে।","Yes, you have benefited by telling such an incident.","However, due to the arrival of the Rohingyas, many people of our Ukiya Police Station have received various forms of assistance including umbrellas, blankets, handi-patils.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"H755001005",9950,"annotated","B","ভাইয়া, এ রকম আর কী কী সাহায্য পেয়েছে?","অনেক কিছুই পেয়েছে, বিস্কুট পেয়েছে, টাকা পয়সা পেয়েছে এবং এ রকম আরো অনেক ধরণের সাহায্য পেয়েছে।","Brother, what kind of help has been received?","Got a lot of things, got biscuits, got money and got many other kinds of help.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"H755001005",9951,"annotated","C","ভাইয়া, আপনি কি এ রকম কোনো ঘটনা বলতে পারবেন, যার কারণে আপনার মনে হয়েছে যে, রোহিঙ্গারা আসার কারণে আপনাদের কোনো অসুবিধা হয়েছে?","অসুবিধা বলতে, তারা আসার কারণে আমরা এখন আগের মত স্বাধীন ভাবে চলা ফেরা করতে পারি না। এবং তারা আসাতে মাছ, গোস্ত সহ অন্যান্য দ্রব্যের মূল্য বেড়ে গেছে, যার কারণে আমরা আগের মত স্বল্প মুল্যে বাজার সদাই কিনতে না পারাতে অনেক কষ্ট পাচ্ছি।","Biya, can you tell me any such incident, due to which you feel that you have faced any difficulties due to the arrival of Rohingyas?","The problem is, because of their arrival, we can't move freely like we used to. And since they came, the prices of fish, meat, and other goods have increased, because of which we have great difficulty in not always being able to buy the market at such low prices as before.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"H755001005",9952,"annotated","D","মাশা আল্লাহ, আপনি সুন্দর কথা বলেছেন। ভাইয়া, কীভাবে রোহিঙ্গা এবং স্থানীয় লোকদের সম্পর্কটা আরো ভালো কারা যাবে বলে আপনি ধারণা করছেন? একটু যদি বলতেন।","হায় আল্লাহ, আপু, রোহিঙ্গাদেরকে কখনো ভালো করা সম্ভব না। তাদেরকে সব সময় ক্যাম্পের মধ্যে বন্দি করে রাখতে হবে, তারা অনেক খারাপ মানুষ।","Masha Allah, you spoke beautifully. Brother, how do you think the relationship between the Rohingya and the local people will be better? If only he said a little.","Oh God, sister, it is never possible to make the Rohingyas better. They should be locked up in camps all the time, they are very bad people.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
"H755001005",9953,"annotated","D","ভাইয়া, আমি জানতে চাচ্ছি, আমাদের এবং তাদের মাঝে কীভাবে আরো ভালো সম্পর্ক করা যাবে বলে আপনি মনে করেন?","তাদের কথা বলতে গেলে অনেক কথাই আছে। আপনারা তাদেরকে কীভাবে ভালো করবেন? তারা অনেক খারাপ লোক। তাদেরকে কোনো ভাবেই ভালো করা সম্ভব না। তারা সুন্দর করে কথাও বলতে জানে না। কারো সাথে দুই দিন ভালো থাকলে, তৃতীয় দিন এসে ঝগড়া করতে শুরু করে।","Brother, I want to know, how do you think we can have a better relationship between us and them?","There is a lot to talk about them. How do you make them better? They are very bad people. It is not possible to make them better in any way. They don't even know how to speak well. If you are good with someone for two days, come the third day and start quarreling.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
"H748004013",16836,"annotated","A","রোহিঙ্গাদের সম্পর্কে বলার মত আপনার কী মতামত আছে এক কথায় বলুন।","রোহিঙ্গারা ১৭-১৮ সালে আমাদের দেশে নতুন এসেছে। আগের আছে প্রায় দুই, চার, পাঁচ লক্ষ। সারা বাংলাদেশে দুই, চার, পাঁচ লক্ষ আগে থেকে পুরাতন আছে। তারা আসছে। এখন যে কোন উপায়ে তাদেরকে তাদের দেশে পাঠিয়ে দিতে পারলে ভালো হবে।","What is your opinion about Rohingya in one word?","Rohingyas came to our country in 17-18. Earlier there are about two, four, five lakhs. There are two, four, five lakh old ones all over Bangladesh. they are coming Now it would be better to send them back to their country by any means possible.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15
"H748004013",16837,"annotated","B","রোহিঙ্গারা এসে আপনাদের উপকার হয়েছে এমন কোন ঘটনা বলতে পারবেন কি?","বুঝি নি।","Can you tell me any incident that has benefited the Rohingyas?","didn't understand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"H748004013",16838,"annotated","B","এমন কোন ঘটনা বলতে পারবেন কি যখন মনে মনে হয়েছে রোহিঙ্গারা এসে আপনাদের উপকার হয়েছে?","উপকার হলেও তাদের উপকার হয়েছে। আমাদের কোন ধরণের উপকার হয় নি।","Can you tell me any such incident when you feel that the Rohingyas came and benefited you?","Even if it is a benefit, they have benefited. We have not benefited in any way.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
